Fold No,Epoch No,Accuracy,Loss,Val_Accuracy,Val_Loss
1,1,0.6367,1.0613,0.2633,3.2631
1,2,0.7551,0.6801,0.4191,3.1132
1,3,0.8037,0.5318,0.8233,0.4133
1,4,0.8264,0.4597,0.8224,0.5406
1,5,0.8619,0.3702,0.8609,0.3645
1,6,0.8763,0.3444,0.8941,0.2922
1,7,0.8888,0.3177,0.8801,0.2937
1,8,0.9054,0.2627,0.9038,0.3026
1,9,0.9186,0.2273,0.9248,0.2132
1,10,0.9247,0.2215,0.8548,0.4353
1,11,0.937,0.1804,0.7787,0.6716
1,12,0.9378,0.1748,0.9125,0.2373
1,13,0.93,0.1963,0.9458,0.1634
1,14,0.9339,0.1799,0.8434,0.5582
1,15,0.9525,0.1409,0.9554,0.1236
1,16,0.9525,0.1314,0.9598,0.1154
1,17,0.9604,0.1144,0.8513,0.7233
1,18,0.9652,0.1025,0.9396,0.2049
1,19,0.9626,0.1215,0.7524,1.1658
1,20,0.9558,0.1277,0.958,0.1205
1,21,0.9687,0.0942,0.9204,0.2448
1,22,0.9575,0.1184,0.9405,0.2302
1,23,0.9582,0.1226,0.9563,0.136
1,24,0.9724,0.0789,0.9335,0.2144
1,25,0.9689,0.0865,0.9545,0.1615
1,26,0.9761,0.0703,0.9554,0.1235
1,27,0.9753,0.07,0.8609,0.5012
1,28,0.9746,0.0791,0.9615,0.1327
1,29,0.9783,0.0595,0.9519,0.1595
1,30,0.9772,0.0605,0.9606,0.1439
2,1,0.6538,1.0116,0.3535,3.7298
2,2,0.768,0.6237,0.7122,0.9685
2,3,0.8028,0.5352,0.7927,0.505
2,4,0.8326,0.4476,0.8504,0.4466
2,5,0.8566,0.3926,0.8871,0.3304
2,6,0.8842,0.3103,0.8154,0.5712
2,7,0.8925,0.3021,0.7865,0.7461
2,8,0.9098,0.2444,0.8933,0.2999
2,9,0.9177,0.2217,0.8723,0.3374
2,10,0.9243,0.1951,0.9361,0.2021
2,11,0.9354,0.184,0.8941,0.3104
2,12,0.9265,0.1998,0.9326,0.2046
2,13,0.9392,0.1757,0.9405,0.1929
2,14,0.9473,0.1522,0.93,0.2387
2,15,0.9514,0.1309,0.9283,0.2414
2,16,0.9521,0.1515,0.9475,0.1661
2,17,0.954,0.128,0.9283,0.2117
2,18,0.9589,0.1184,0.9108,0.279
2,19,0.9617,0.107,0.9405,0.2045
2,20,0.9652,0.0985,0.9414,0.1898
2,21,0.9593,0.1219,0.9344,0.213
2,22,0.9654,0.1045,0.9431,0.1795
2,23,0.9735,0.0764,0.9431,0.2091
2,24,0.9753,0.0746,0.9466,0.1938
2,25,0.9667,0.0998,0.9213,0.2654
2,26,0.9637,0.1072,0.951,0.1781
2,27,0.9724,0.0821,0.9501,0.1766
2,28,0.9779,0.0658,0.9615,0.159
