Optimizer,ModelType,Round_Fold,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
Adagrad,FEDERATED CNN,1,1,1,19.80952954,0.5004374385,0.2638036907,1.343690753,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,1,2,6.223229408,0.6062992215,0.2638036907,1.036046624,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,1,3,6.180118322,0.6447944045,0.2638036907,0.9389234185,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,1,4,6.127594233,0.6911635995,0.2638036907,0.8442609906,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,1,5,6.174046993,0.688538909,0.2638036907,0.8236036897,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,1,6,6.123691082,0.7130358815,0.2638036907,0.743621707,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,2,1,17.54955339,0.524934411,0.2638036907,1.395573497,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,2,2,6.017501354,0.6290463805,0.2638036907,1.029439211,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,2,3,5.588773727,0.685914278,0.2638036907,0.8713485599,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,2,4,5.659865618,0.686789155,0.2638036907,0.8743606806,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,2,5,5.688379526,0.695538044,0.2638036907,0.8503981829,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,2,6,5.688313246,0.696412921,0.2638036907,0.8128457069,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,3,1,19.45747757,0.5148861408,0.2638036907,1.361331344,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,3,2,5.726718664,0.633099854,0.2638036907,1.033905268,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,3,3,5.703685045,0.6768826842,0.2638036907,0.868434608,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,3,4,5.806016207,0.6900175214,0.2638036907,0.8764097691,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,3,5,5.732072592,0.7162871957,0.2638036907,0.7947532535,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,3,6,5.741753101,0.7180384994,0.2638036907,0.7878798842,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,4,1,17.67335606,0.5070052743,0.2638036907,1.336256504,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,4,2,5.481354713,0.6138353944,0.2638036907,1.03017199,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,4,3,5.724434137,0.6488616467,0.2638036907,0.9409834146,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,4,4,5.772354364,0.6961470842,0.2638036907,0.8343648314,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,4,5,5.777220726,0.6961470842,0.2638036907,0.790676415,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,4,6,5.774074316,0.7294220924,0.2638036907,0.729190588,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,5,1,17.47298908,0.5201401114,0.2638036907,1.330489516,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,5,2,5.670338392,0.6278458834,0.2638036907,1.017042756,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,5,3,5.739700317,0.6558669209,0.2638036907,0.9123652577,2.29737258,0.001000000047
Adagrad,FEDERATED CNN,1,5,4,5.541404009,0.7031523585,0.2638036907,0.8175429106,2.29737258,0.001000000047
