Fold,Epoch,Time,accuracy,loss,val_accuracy,val_loss,learning_rate
1,1,81,0.2948,1.4033,0.2546,1.3898,0.001
1,2,67,0.3563,1.3428,0.3928,1.4042,0.001
1,3,70,0.4058,1.2883,0.2572,1.3692,0.001
1,4,66,0.4465,1.2355,0.4077,1.1975,0.001
1,5,66,0.5222,1.1815,0.6028,1.0686,0.001
1,6,66,0.5301,1.1518,0.3246,1.7415,0.001
1,7,70,0.49,1.2033,0.5879,1.1488,0.001
1,8,66,0.5507,1.1142,0.3228,1.7871,0.001
1,9,64,0.5555,1.0862,0.6037,1.022,0.0001
1,10,66,0.5596,1.0834,0.5792,1.0816,0.0001
1,11,64,0.5763,1.0592,0.608,1.009,0.0001
1,12,65,0.5813,1.0493,0.6089,1.0118,0.0001
1,13,65,0.5765,1.0469,0.5993,1.0189,0.0001
1,14,67,0.5785,1.0435,0.5976,1.033,0.0001
1,15,66,0.5905,1.0287,0.6045,1.0116,1e-05
1,16,66,0.5752,1.0391,0.6037,1.0131,1e-05
2,1,67,0.5016,1.2067,0.3307,1.5125,0.001
2,2,66,0.5428,1.1139,0.4462,1.312,0.001
2,3,66,0.5756,1.0546,0.608,1.0243,0.001
2,4,68,0.5824,1.0138,0.4584,1.1971,0.001
2,5,67,0.5321,1.0567,0.4864,1.2232,0.001
2,6,67,0.5461,1.0478,0.5337,1.0176,0.001
2,7,67,0.5815,0.9965,0.5127,1.0838,0.001
2,8,65,0.594,0.9837,0.6308,0.9022,0.001
2,9,66,0.5929,0.9815,0.5661,1.051,0.001
2,10,70,0.5787,0.98,0.5757,0.9473,0.001
2,11,66,0.5835,0.9592,0.5302,1.0141,0.001
2,12,65,0.5951,0.9129,0.6518,0.8159,0.0001
2,13,65,0.6091,0.8929,0.6649,0.8025,0.0001
2,14,68,0.6078,0.8953,0.6675,0.7882,0.0001
2,15,65,0.6255,0.8607,0.6789,0.7602,0.0001
2,16,65,0.6229,0.8666,0.6789,0.7612,0.0001
2,17,64,0.6257,0.8667,0.6833,0.7548,0.0001
2,18,64,0.6332,0.8413,0.6807,0.7503,0.0001
2,19,65,0.6205,0.8463,0.6693,0.7616,0.0001
2,20,64,0.6367,0.8306,0.6842,0.7414,0.0001
2,21,64,0.6422,0.831,0.6868,0.734,0.0001
2,22,66,0.6387,0.8363,0.6807,0.7403,0.0001
2,23,64,0.6406,0.8308,0.6807,0.7385,0.0001
2,24,65,0.6437,0.8173,0.6675,0.7612,0.0001
2,25,65,0.6371,0.8078,0.678,0.7362,1e-05
2,26,65,0.6441,0.8136,0.6807,0.7274,1e-05
2,27,64,0.6417,0.8142,0.6763,0.7345,1e-05
2,28,64,0.6461,0.8101,0.6833,0.7267,1e-05
2,29,65,0.6551,0.7987,0.6789,0.7275,1e-05
2,30,65,0.6439,0.8163,0.6807,0.7269,1e-05
3,1,65,0.3606,1.3153,0.4282,1.2394,0.001
3,2,66,0.3449,1.2654,0.3897,1.222,0.001
3,3,66,0.4009,1.1749,0.437,1.1451,0.001
3,4,64,0.4796,1.1742,0.4597,1.308,0.001
3,5,63,0.4908,1.1462,0.359,1.2872,0.001
3,6,63,0.4919,1.1322,0.4912,1.0543,0.001
3,7,65,0.5291,1.1144,0.5823,1.0123,0.001
3,8,71,0.56,1.0484,0.3704,1.6684,0.001
3,9,65,0.5832,1.0031,0.6191,0.9319,0.001
3,10,66,0.5807,1.0128,0.4667,1.2014,0.001
3,11,66,0.493,1.1971,0.2715,1.9853,0.001
3,12,67,0.563,1.0812,0.5587,1.0966,0.001
3,13,64,0.5641,1.055,0.6121,0.9791,0.0001
3,14,63,0.5549,1.0686,0.6217,0.9653,0.0001
4,1,67,0.4223,1.2303,0.3336,1.4729,0.001
4,2,64,0.4473,1.172,0.4501,1.1603,0.001
