Round,Client,Bytes_Server_to_Client,Bytes_Client_to_Server
1,1,3254672,3254672
1,2,3254672,3254672
1,3,3254672,3254672
1,4,3254672,3254672
1,5,3254672,3254672
2,1,3254672,3254672
2,2,3254672,3254672
2,3,3254672,3254672
2,4,3254672,3254672
2,5,3254672,3254672
3,1,3254672,3254672
3,2,3254672,3254672
3,3,3254672,3254672
3,4,3254672,3254672
3,5,3254672,3254672
4,1,3254672,3254672
4,2,3254672,3254672
4,3,3254672,3254672
4,4,3254672,3254672
4,5,3254672,3254672
5,1,3254672,3254672
5,2,3254672,3254672
5,3,3254672,3254672
5,4,3254672,3254672
5,5,3254672,3254672
