Round,Client,Bytes_Server_to_Client,Bytes_Client_to_Server
1,1,3253920,3253920
1,2,3253920,3253920
1,3,3253920,3253920
1,4,3253920,3253920
1,5,3253920,3253920
2,1,3253920,3253920
2,2,3253920,3253920
2,3,3253920,3253920
2,4,3253920,3253920
2,5,3253920,3253920
3,1,3253920,3253920
3,2,3253920,3253920
3,3,3253920,3253920
3,4,3253920,3253920
3,5,3253920,3253920
4,1,3253920,3253920
4,2,3253920,3253920
4,3,3253920,3253920
4,4,3253920,3253920
4,5,3253920,3253920
5,1,3253920,3253920
5,2,3253920,3253920
5,3,3253920,3253920
5,4,3253920,3253920
5,5,3253920,3253920
