Optimizer,Model Type,Max Validation Accuracy,Min Validation Loss,Max Training Accuracy,Min Training Loss,Average Time/Epoch (sec)
ADAM,FEDERATED CNN,0.9962,0.0606,0.9283,0.1893,7.73
ADAM,MLCNN,0.972,0.1041,0.9847,0.0465,4.91
ADAM,FEDERATED QUANTUM CNN,0.7627,0.5948,0.697,0.7748,7.93
ADAM,QUANTUM CNN,0.7408,0.6152,0.7207,0.6502,4.85
Adagrad,MLCNN,0.8705,0.3894,0.8641,0.3793,4.91
Adagrad,QUANTUM CNN,0.8224,0.826,0.8094,0.8464,4.85
Adagrad,FEDERATED CNN,0.4987,1.6397,0.8486,0.3972,7.75
Adagrad,FEDERATED QUANTUM CNN,0.4102,1.2577,0.699,0.9382,7.9
SDG,FEDERATED QUANTUM CNN,1.4221,0.3111,0.7618,0.5883,8.2
SDG,MLCNN,0.972,0.1041,0.9847,0.0465,4.91
SDG,QUANTUM CNN,0.9063,0.3386,0.9035,0.3387,4.65
SDG,FEDERATED CNN,0.4978,1.3477,0.894,0.2976,7.79
