Fold,Epoch,Time (seconds)
1,1,28.734377145767212
1,2,4.119250059127808
1,3,4.230112552642822
1,4,4.174018144607544
1,5,4.200774431228638
1,6,2.9685492515563965
1,7,4.170785427093506
1,8,4.212122678756714
1,9,4.278944730758667
1,10,4.24150824546814
1,11,4.2924439907073975
1,12,4.209985971450806
1,13,4.132267475128174
1,14,2.3740932941436768
1,15,4.065042734146118
1,16,4.149844646453857
1,17,4.325468063354492
1,18,4.29654860496521
1,19,4.334330081939697
1,20,4.279529809951782
1,21,4.1806252002716064
1,22,4.043282747268677
1,23,4.100651264190674
1,24,4.022038698196411
1,25,2.048684597015381
1,26,3.9933345317840576
1,27,4.269306898117065
1,28,4.21636438369751
1,29,4.302065134048462
1,30,4.3794660568237305
2,1,18.239059925079346
2,2,4.24831485748291
2,3,4.62516450881958
2,4,4.146426439285278
2,5,4.1491804122924805
2,6,4.068561315536499
2,7,4.102397441864014
2,8,4.275465726852417
2,9,4.258548736572266
2,10,4.441681861877441
2,11,4.148810625076294
2,12,3.9212546348571777
2,13,3.647512912750244
2,14,3.640242576599121
2,15,3.909694194793701
2,16,4.014953374862671
2,17,3.9533040523529053
2,18,3.9476633071899414
2,19,3.947777271270752
2,20,4.035836935043335
2,21,3.904839038848877
2,22,3.9606356620788574
2,23,3.9573850631713867
2,24,3.95084285736084
2,25,3.919064521789551
2,26,3.9485044479370117
2,27,4.302771091461182
2,28,4.819496154785156
2,29,4.225989818572998
2,30,4.065309047698975
3,1,21.363404512405396
3,2,3.992755174636841
3,3,3.98943829536438
3,4,3.9541068077087402
3,5,3.959160566329956
3,6,3.9346389770507812
3,7,3.96709942817688
3,8,3.9296352863311768
3,9,3.9329679012298584
3,10,3.9332375526428223
3,11,3.948853015899658
3,12,3.9217982292175293
3,13,3.966217041015625
3,14,3.933520555496216
3,15,3.9978997707366943
3,16,3.919814109802246
3,17,3.979410171508789
3,18,3.938519239425659
3,19,3.9682083129882812
3,20,3.913764238357544
3,21,3.912684917449951
3,22,4.287435293197632
3,23,3.9279873371124268
3,24,3.911057949066162
3,25,3.9348015785217285
3,26,4.037728548049927
3,27,4.976564168930054
3,28,3.9345154762268066
3,29,3.9141499996185303
3,30,3.9491989612579346
4,1,17.65293526649475
4,2,3.950566291809082
4,3,3.940723419189453
4,4,3.985374689102173
4,5,3.941697835922241
4,6,3.9508848190307617
4,7,3.9741430282592773
4,8,3.9592788219451904
4,9,3.950828790664673
4,10,3.961838960647583
4,11,3.985927104949951
4,12,3.9654464721679688
4,13,3.9510133266448975
4,14,3.984295606613159
4,15,3.999878406524658
4,16,3.9624247550964355
4,17,3.9727699756622314
4,18,3.9539222717285156
4,19,4.055913925170898
4,20,3.9594836235046387
4,21,3.9441542625427246
4,22,3.9716784954071045
4,23,3.9668610095977783
4,24,3.9669911861419678
4,25,3.9658823013305664
4,26,4.287998676300049
4,27,3.99869441986084
4,28,3.991466522216797
4,29,3.9912655353546143
4,30,4.022505521774292
5,1,17.526649475097656
5,2,3.9645779132843018
5,3,3.9625864028930664
5,4,4.02670431137085
5,5,4.003483057022095
5,6,3.963007926940918
5,7,3.9721872806549072
5,8,4.056897878646851
5,9,4.063330173492432
5,10,4.485013961791992
5,11,4.218440532684326
5,12,4.087381839752197
5,13,4.138613939285278
5,14,4.0372538566589355
5,15,4.120089530944824
5,16,4.08527684211731
5,17,4.056601047515869
5,18,4.024242877960205
5,19,4.070150375366211
5,20,3.986100912094116
5,21,4.037956476211548
5,22,4.0417139530181885
5,23,4.02005672454834
5,24,3.9864907264709473
5,25,4.046150207519531
5,26,4.046584606170654
5,27,3.9817657470703125
5,28,4.025935888290405
5,29,3.999447822570801
5,30,4.015365123748779
