,,,,,,,,,,,,
Global Model Initialization RESULTS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fold No,Epoch No,Accuracy,Loss,Val_Accuracy,Val_Loss,Learning_Rate,,,Conclusion : Global Model Results,,,
1,1,0.6529,1.0159,0.4226,1.5462,0.001,,,,,,
1,2,0.7772,0.6349,0.7017,0.9568,0.001,,,,,,
1,3,0.8,0.5447,0.7743,0.6291,0.001,,,,,,
1,4,0.8306,0.452,0.8749,0.3462,0.001,,,,,,
1,5,0.8665,0.3828,0.8451,0.4185,0.001,,,,,,
1,6,0.8853,0.3204,0.8985,0.2974,0.001,,,,,,
1,7,0.9076,0.2638,0.9195,0.2081,0.001,,,,,,
1,8,0.9177,0.2388,0.874,0.3895,0.001,,,,,,
1,9,0.9346,0.1865,0.825,0.4811,0.001,,,,,,
1,10,0.9372,0.1841,0.8845,0.3322,0.001,,,,,,
1,11,0.9584,0.1286,0.9589,0.1169,5.00E-04,,,,,,
1,12,0.97,0.0948,0.9624,0.119,5.00E-04,,,,,,
1,13,0.9676,0.0957,0.9703,0.0956,5.00E-04,,,,,,
1,14,0.9641,0.1101,0.9554,0.138,5.00E-04,,,,,,
1,15,0.9715,0.0826,0.965,0.1194,5.00E-04,,,,,,
1,16,0.965,0.1009,0.951,0.1856,5.00E-04,,,,,,
1,17,0.977,0.0631,0.9764,0.0718,2.50E-04,,,,,,
1,18,0.984,0.0468,0.979,0.0784,2.50E-04,,,,,,
1,19,0.9904,0.0314,0.9729,0.0986,2.50E-04,,,,,,
1,20,0.9862,0.0433,0.9729,0.0966,2.50E-04,,,,,,
1,21,0.9886,0.0347,0.9834,0.0606,1.25E-04,,,,,,
1,22,0.9923,0.0261,0.9799,0.0643,1.25E-04,,,,,,
1,23,0.993,0.0239,0.9816,0.0642,1.25E-04,,,,,,
1,24,0.9947,0.0205,0.9799,0.0749,1.25E-04,,,,,,
1,25,0.9956,0.0166,0.9825,0.0704,6.25E-05,,,,,,
1,26,0.9947,0.0177,0.9834,0.0684,6.25E-05,,,,,,
2,1,0.6253,1.1186,0.2878,1.7336,0.001,,,,,,
2,2,0.759,0.6613,0.6885,1.0665,0.001,,,,,,
2,3,0.8046,0.5349,0.8303,0.6002,0.001,,,,,,
2,4,0.8466,0.4289,0.8101,0.5157,0.001,,,,,,
2,5,0.8584,0.3885,0.853,0.3925,0.001,,,,,,
2,6,0.8908,0.3152,0.8548,0.4688,0.001,,,,,,
2,7,0.9072,0.2771,0.9151,0.2854,0.001,,,,,,
2,8,0.9195,0.229,0.9046,0.29,0.001,,,,,,
2,9,0.9247,0.2307,0.9274,0.2159,0.001,,,,,,
