Metric,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean (± Std. Dev)
Best Validation Accuracy,0.7174,0.7244,0.7627,0.7224,0.7513,0.7356 (± 0.0180)
Best Validation Loss,0.7231 (Epoch 27),0.5948 (Epoch 27),0.6509 (Epoch 21),0.6172 (Epoch 20),0.6316 (Epoch 16),N/A
,,,,,,
,,,,,,
Federated Round,Client ID,Local Accuracy (Final Epoch 6),Local Loss (Final Epoch 6),Global Validation Accuracy,Global Validation Loss,
Round 1,Client 1,0.5661,1.1288,0.2875,1.5647,
,Client 2,0.4523,1.2121,,,
,Client 3,0.4711,1.2018,,,
,Client 4,0.5053,1.2013,,,
,Client 5,0.3511,1.3029,,,
Round 2,Client 1,0.6194,1.019,0.5513,1.1444,
,Client 2,0.5381,1.1039,,,
,Client 3,0.5928,1.0429,,,
,Client 4,0.5613,1.1147*,,,
,Client 5,0.5746,1.0965,,,
,,,,,,
centralized model for comparison ,,,,,,
,,,,,,
Fold No,Epoch No,Train Accuracy,Train Loss,Val_Accuracy,Val_Loss,
1,1,0.4323,1.168,0.2948,1.6171,
1,2,0.4561,1.1165,0.5136,1.1965,
1,3,0.4463,1.1144,0.4619,1.088,
1,4,0.4701,1.0625,0.4864,0.9903,
1,5,0.4806,1.039,0.5074,0.9636,
1,6,0.476,1.0388,0.5389,0.9794,
1,7,0.492,1.0127,0.4821,1.0124,
1,8,0.4653,1.047,0.4899,0.947,
1,9,0.4935,1.0092,0.4777,0.9682,
1,10,0.483,1.0574,0.5494,1.0069,
1,11,0.5135,1.0648,0.5328,0.9701,
1,12,0.4977,1.0465,0.5241,0.9911,
1,13,0.5065,1.0125,0.5267,0.9311,
1,14,0.545,0.994,0.6037,0.923,
1,15,0.5898,0.949,0.6562,0.8991,
1,16,0.6023,0.9432,0.6702,0.9034,
1,17,0.6146,0.9246,0.6395,0.9159,
1,18,0.6242,0.9036,0.6763,0.8358,
1,19,0.6238,0.902,0.6474,0.8766,
1,20,0.6507,0.8829,0.7095,0.8076,
1,21,0.6553,0.8814,0.7078,0.8183,
1,22,0.645,0.8815,0.6894,0.81,
1,23,0.6559,0.8722,0.7262,0.7854,
1,24,0.6538,0.8834,0.6702,0.8082,
1,25,0.6654,0.8361,0.685,0.7821,
1,26,0.689,0.8012,0.7314,0.7257,
1,27,0.6752,0.8282,0.7174,0.7231,
1,28,0.671,0.8266,0.72,0.7336,
1,29,0.6588,0.8355,0.6903,0.7983,
1,30,0.689,0.7941,0.6947,0.7362,
2,1,0.4773,1.1906,0.2738,1.3611,
2,2,0.5384,1.0668,0.5853,0.9703,
2,3,0.5636,1.0314,0.608,1.0713,
2,4,0.5513,1.0559,0.5293,1.0493,
2,5,0.6087,0.9625,0.5451,1.0622,
