Round No (Fold),Client No,Epoch No,Accuracy,Loss,Val_Accuracy (Global Model),Val_Loss (Global Model),Learning Rate,,,,,
1,1,1,0.5503,1.3918,-,-,0.001,,,,,
1,1,2,0.6404,1.0355,-,-,0.001,,,,,
1,1,3,0.6842,0.9541,-,-,0.001,,,,,
1,1,4,0.7209,0.7809,-,-,0.001,,,,,
1,1,5,0.7288,0.7841,-,-,0.001,,,,,
1,1,6,0.7804,0.6456,-,-,0.001,,,,,
1,2,1,0.5486,1.381,-,-,0.001,,,,,
1,2,2,0.6527,1.0315,-,-,0.001,,,,,
1,2,3,0.6973,0.8612,-,-,0.001,,,,,
1,2,4,0.7148,0.803,-,-,0.001,,,,,
1,2,5,0.7585,0.6608,-,-,0.001,,,,,
1,2,6,0.7463,0.6801,-,-,0.001,,,,,
1,3,1,0.5447,1.3849,-,-,0.001,,,,,
1,3,2,0.6401,1.0397,-,-,0.001,,,,,
1,3,3,0.676,0.9412,-,-,0.001,,,,,
1,3,4,0.6743,0.8429,-,-,0.001,,,,,
1,3,5,0.7356,0.7009,-,-,0.001,,,,,
1,3,6,0.7881,0.5932,-,-,0.001,,,,,
1,4,1,0.5385,1.421,-,-,0.001,,,,,
1,4,2,0.6506,1.0293,-,-,0.001,,,,,
1,4,3,0.7154,0.7954,-,-,0.001,,,,,
1,4,4,0.7277,0.7064,-,-,0.001,,,,,
1,4,5,0.7548,0.7404,-,-,0.001,,,,,
1,4,6,0.7723,0.6082,-,-,0.001,,,,,
1,5,1,0.5692,1.3239,-,-,0.001,,,,,
1,5,2,0.6349,1.0795,-,-,0.001,,,,,
1,5,3,0.648,1.0279,-,-,0.001,,,,,
1,5,4,0.7093,0.8431,-,-,0.001,,,,,
1,5,5,0.718,0.7719,-,-,0.001,,,,,
1,5,6,0.7513,0.7095,-,-,0.001,,,,,
1 (Global),-,-,-,-,0.255,1.597,-,,,,,
2,1,1,0.6684,0.9269,-,-,0.001,,,,,
2,1,2,0.7174,0.7626,-,-,0.001,,,,,
2,1,3,0.7489,0.6728,-,-,0.001,,,,,
2,1,4,0.7533,0.6641,-,-,0.001,,,,,
2,1,5,0.7865,0.5675,-,-,0.001,,,,,
2,1,6,0.7883,0.5611,-,-,0.001,,,,,
2,2,1,0.6352,0.9743,-,-,0.001,,,,,
2,2,2,0.7034,0.7952,-,-,0.001,,,,,
2,2,3,0.7235,0.7385,-,-,0.001,,,,,
2,2,4,0.783,0.5918,-,-,0.001,,,,,
2,2,5,0.7909,0.5652,-,-,0.001,,,,,
2,2,6,0.7927,0.5322,-,-,0.001,,,,,
2,3,1,0.6629,0.9306,-,-,0.001,,,,,
2,3,2,0.7075,0.8046,-,-,0.001,,,,,
