Fold,Epoch,Accuracy,Loss,Val Accuracy,Val Loss,Learning Rate
1,1,0.4804,1.1643,0.4628,1.2827,0.001
1,2,0.5734,1.0157,0.6177,0.9479,0.001
1,3,0.5907,0.978,0.4646,1.2011,0.001
1,4,0.5767,0.989,0.6212,0.9261,0.001
1,5,0.5844,0.9846,0.6045,0.9432,0.001
1,6,0.6128,0.9755,0.6605,0.8945,0.001
1,7,0.6246,0.9202,0.5293,0.9891,0.001
1,8,0.6084,0.9233,0.5372,1.0657,0.001
1,9,0.5947,0.9604,0.608,0.9888,0.001
1,10,0.6271,0.9061,0.6597,0.8101,0.001
1,11,0.6347,0.8704,0.5748,1.0363,0.001
1,12,0.6426,0.8384,0.7095,0.7206,0.001
1,13,0.6443,0.8491,0.6518,0.8801,0.001
1,14,0.6432,0.8524,0.6623,0.8013,0.001
1,15,0.6446,0.8279,0.6632,0.8045,0.001
1,16,0.6255,0.867,0.6579,0.7592,0.001
1,17,0.6395,0.8267,0.6999,0.7277,0.001
1,18,0.6651,0.802,0.699,0.7233,0.0005
1,19,0.6634,0.7887,0.7078,0.7058,0.0005
1,20,0.6739,0.7581,0.6579,0.7632,0.0005
1,21,0.6796,0.7457,0.7078,0.6933,0.0005
1,22,0.6809,0.7483,0.7157,0.6876,0.0005
1,23,0.678,0.7474,0.7253,0.6496,0.0005
1,24,0.6767,0.7446,0.7297,0.6461,0.0005
1,25,0.687,0.7265,0.7183,0.6594,0.0005
1,26,0.6883,0.7238,0.72,0.6852,0.0005
1,27,0.6894,0.7285,0.7148,0.6985,0.0005
1,28,0.6879,0.713,0.7244,0.6541,0.0005
1,29,0.6938,0.712,0.7244,0.6521,0.0005
1,30,0.6986,0.6958,0.7262,0.6402,0.00025
2,1,0.4344,1.2569,0.5626,1.1604,0.001
2,2,0.5369,1.1482,0.5652,1.0514,0.001
2,3,0.557,1.1053,0.5941,1.0618,0.001
2,4,0.5763,1.0445,0.5888,0.9944,0.001
2,5,0.5942,0.9948,0.5923,0.9447,0.001
2,6,0.6174,0.9273,0.5827,1.0302,0.001
2,7,0.6251,0.9366,0.5704,1.1429,0.001
2,8,0.6321,0.9075,0.3631,1.8894,0.001
2,9,0.6391,0.8775,0.6378,0.8719,0.001
2,10,0.65,0.8464,0.6903,0.8467,0.001
2,11,0.6605,0.8176,0.6308,0.8688,0.001
2,12,0.654,0.8273,0.6247,0.8337,0.001
2,13,0.6369,0.8552,0.6702,0.7714,0.001
2,14,0.661,0.8444,0.6675,0.8426,0.001
2,15,0.6649,0.8569,0.6072,0.8915,0.001
2,16,0.664,0.8272,0.699,0.7068,0.001
2,17,0.6881,0.7728,0.7157,0.6952,0.001
2,18,0.6916,0.8053,0.7358,0.7251,0.001
2,19,0.654,0.8361,0.5617,1.3912,0.001
2,20,0.6599,0.8616,0.6824,0.8,0.001
2,21,0.6592,0.8468,0.6597,0.7714,0.001
2,22,0.6645,0.8178,0.6745,0.805,0.001
2,23,0.6934,0.7525,0.706,0.6846,0.0005
2,24,0.6916,0.7284,0.7279,0.6693,0.0005
2,25,0.6973,0.7215,0.7148,0.731,0.0005
2,26,0.7045,0.6989,0.7244,0.6597,0.0005
2,27,0.7028,0.6995,0.7192,0.6418,0.0005
2,28,0.6995,0.7059,0.706,0.6735,0.0005
2,29,0.6988,0.6953,0.7305,0.6635,0.0005
2,30,0.7207,0.6732,0.7279,0.6348,0.0005
3,1,0.4221,1.2255,0.507,1.3003,0.001
3,2,0.5569,1.0572,0.5919,0.9828,0.001
3,3,0.5781,1.0181,0.6637,0.8725,0.001
3,4,0.6365,0.9354,0.6165,0.9031,0.001
3,5,0.6241,0.9049,0.6366,0.9781,0.001
3,6,0.6383,0.9083,0.6664,0.7927,0.001
3,7,0.6477,0.8746,0.6839,0.7651,0.001
3,8,0.653,0.848,0.5096,1.3055,0.001
3,9,0.6477,0.8354,0.6541,0.7952,0.001
3,10,0.6516,0.8151,0.5867,0.9595,0.001
3,11,0.66,0.8436,0.6926,0.7149,0.001
3,12,0.6626,0.8193,0.606,0.8556,0.001
3,13,0.6829,0.7741,0.6856,0.7195,0.001
3,14,0.6775,0.7707,0.7049,0.6796,0.001
3,15,0.6961,0.7359,0.7032,0.6838,0.001
3,16,0.6902,0.751,0.6996,0.7149,0.001
3,17,0.6803,0.7564,0.7093,0.6956,0.001
3,18,0.6853,0.748,0.6944,0.6983,0.001
3,19,0.6654,0.7732,0.6935,0.6922,0.001
3,20,0.6928,0.7322,0.7408,0.6606,0.0005
3,21,0.6945,0.7134,0.7137,0.6838,0.0005
3,22,0.7011,0.7427,0.7189,0.641,0.0005
3,23,0.7114,0.6946,0.6918,0.7066,0.0005
3,24,0.7015,0.71,0.7058,0.6769,0.0005
3,25,0.7061,0.6982,0.7285,0.6291,0.0005
3,26,0.7116,0.6751,0.7084,0.6506,0.0005
3,27,0.7158,0.6787,0.7338,0.645,0.0005
3,28,0.7158,0.6502,0.7207,0.6381,0.0005
3,29,0.7158,0.6553,0.7093,0.6235,0.0005
3,30,0.7136,0.67,0.7163,0.6152,0.0005
4,1,0.4015,1.2603,0.3354,1.3462,0.001
4,2,0.519,1.1186,0.5613,1.1444,0.001
4,3,0.551,1.0494,0.6375,0.9414,0.001
4,4,0.5886,0.9724,0.5464,1.0591,0.001
4,5,0.6092,0.9712,0.6524,0.8697,0.001
4,6,0.6147,0.9424,0.5911,1.0115,0.001
4,7,0.6319,0.9059,0.6261,0.9167,0.001
4,8,0.6293,0.9051,0.6559,0.8554,0.001
4,9,0.6354,0.8783,0.648,0.8477,0.001
4,10,0.6368,0.86,0.6611,0.8141,0.001
4,11,0.6481,0.8167,0.6401,0.8477,0.001
4,12,0.6446,0.8618,0.648,0.8376,0.001
4,13,0.6444,0.8287,0.6305,0.8883,0.001
4,14,0.6514,0.8197,0.6708,0.7839,0.001
4,15,0.6503,0.8141,0.6848,0.7655,0.001
4,16,0.67,0.782,0.69,0.725,0.001
4,17,0.6676,0.7766,0.7023,0.7412,0.001
4,18,0.6687,0.7884,0.662,0.7935,0.001
4,19,0.6729,0.7659,0.7128,0.6829,0.001
4,20,0.6832,0.7502,0.7023,0.6856,0.001
4,21,0.6766,0.7484,0.6743,0.7156,0.001
4,22,0.6788,0.7267,0.7084,0.7305,0.001
4,23,0.6875,0.7295,0.655,0.9175,0.001
4,24,0.6807,0.8239,0.7023,0.7121,0.001
4,25,0.7002,0.7386,0.7084,0.6937,0.0005
4,26,0.7042,0.7055,0.7198,0.6668,0.0005
4,27,0.6873,0.7358,0.69,0.7045,0.0005
4,28,0.6775,0.732,0.6961,0.6701,0.0005
4,29,0.6816,0.7024,0.6804,0.695,0.0005
4,30,0.6939,0.6944,0.7189,0.6572,0.0005
5,1,0.4074,1.2452,0.4545,1.241,0.001
5,2,0.5427,1.1259,0.549,1.0742,0.001
