Optimizer,ModelType,Max_Validation_Accuracy,Min_Validation_Loss,Max_Training_Accuracy,Min_Training_Loss,Average_Time_per_Epoch
ADAM,FEDERATED CNN,0.9962,0.0606,0.9283,0.1893,7.7337
ADAM,FEDERATED QUANTUM CNN,0.7627,0.5948,0.697,0.7748,7.9271
ADAM,MLCNN,0.972,0.1041,0.9847,0.0465,4.9063
ADAM,QUANTUM CNN,0.7408,0.6152,0.7207,0.6502,4.8542
Adagrad,FEDERATED CNN,0.4987,1.6397,0.8486,0.3972,7.7484
Adagrad,FEDERATED QUANTUM CNN,0.4102,1.2577,0.699,0.9382,7.8957
Adagrad,MLCNN,0.8705,0.3894,0.8641,0.3793,4.9063
Adagrad,QUANTUM CNN,0.8224,0.826,0.8094,0.8464,4.8542
HybridAdamSDG,FEDERATED CNN,,,0.6815,0.8705,8.4695
HybridAdamSDG,FEDERATED QUANTUM CNN,,,0.6115,0.9482,15.4825
HybridAdamSDG,MLCNN,0.9685,0.1079,0.9886,0.0368,4.6123
HybridAdamSDG,QUANTUM CNN,0.704,0.7267,0.6628,0.7987,65.4583
SDG,FEDERATED CNN,0.4978,1.3477,0.894,0.2976,7.7908
SDG,FEDERATED QUANTUM CNN,1.4221,0.3111,0.7618,0.5883,8.196
SDG,MLCNN,0.972,0.1041,0.9847,0.0465,4.9063
SDG,QUANTUM CNN,0.9063,0.3386,0.9035,0.3387,4.6547
